A=5639 B=3806 C=9272 X=324213548 Y=1857018146 Z=48481004605 M=8717
A=7469 B=8402 C=7567 X=977010065 Y=3213768396 Z=81942850086 M=6280
A=2503 B=6098 C=9573 X=937751383 Y=8382965995 Z=22442637691 M=9149
A=6772 B=8084 C=5765 X=768056252 Y=1817904724 Z=70873760978 M=1608
A=7346 B=8226 C=7452 X=900032302 Y=2024523078 Z=57341545817 M=4982
A=5836 B=6424 C=9833 X=787444639 Y=3698536190 Z=69930220218 M=7256
A=5193 B=8693 C=6576 X=316208403 Y=6825906931 Z=28239074684 M=4486
A=3671 B=9173 C=6486 X=993123974 Y=9163856458 Z=56392024487 M=1440
A=9436 B=4108 C=8682 X=515462959 Y=4879403779 Z=74710983392 M=6542
A=3231 B=5816 C=6493 X=272075251 Y=9451132203 Z=67726679866 M=7772
A=5056 B=4572 C=6218 X=462988894 Y=8202972325 Z=81480112161 M=7451
A=4154 B=3273 C=6154 X=483057127 Y=9943119671 Z=85673847732 M=9662
A=7464 B=7289 C=5730 X=309894048 Y=5014524475 Z=96421616331 M=6621
A=2532 B=8665 C=5931 X=674866724 Y=6439537016 Z=77409209680 M=6471
A=2732 B=4946 C=9022 X=625492962 Y=3738263419 Z=23216838254 M=7414
A=9146 B=6764 C=9283 X=635465533 Y=6466046070 Z=53153632991 M=8375
A=8980 B=9350 C=6217 X=553879281 Y=8336369305 Z=84451493351 M=6855
A=4873 B=9122 C=8982 X=232315024 Y=6369378708 Z=96814714979 M=3559
A=4205 B=9567 C=9975 X=373346695 Y=4326803099 Z=46149632061 M=9684
A=2860 B=7782 C=9234 X=936434209 Y=8603024220 Z=84343177197 M=6066
A=4158 B=5236 C=8020 X=495249967 Y=9380058069 Z=68473371938 M=8929
A=2963 B=9724 C=6837 X=780282944 Y=6409682971 Z=45217032890 M=5735
A=6240 B=8688 C=9668 X=965087747 Y=2156477252 Z=28637147722 M=2877
A=8389 B=8225 C=7154 X=630498978 Y=7529432047 Z=47668620571 M=2077
A=7357 B=3962 C=8511 X=318098153 Y=1188783115 Z=20920043856 M=8139
A=6375 B=8591 C=9167 X=462907787 Y=8833212965 Z=67778941354 M=4678
A=2871 B=7381 C=5808 X=689973168 Y=7263679023 Z=81401230421 M=8410
A=2549 B=5086 C=8381 X=263651159 Y=7884176536 Z=39828199845 M=6699
A=5825 B=7159 C=8951 X=949557655 Y=9344426945 Z=48019411396 M=9245
A=7017 B=7740 C=8884 X=495862343 Y=5947534729 Z=67409154456 M=1218
A=6398 B=6721 C=7709 X=174984501 Y=4765255067 Z=65445474505 M=3647
A=2274 B=8546 C=7753 X=437671378 Y=2800319895 Z=78872299010 M=5938
A=6248 B=9601 C=6065 X=180193244 Y=2843357336 Z=63026904369 M=4300
A=3882 B=6741 C=8320 X=339294960 Y=4440707157 Z=10342455733 M=2899
A=3949 B=4815 C=9462 X=191708916 Y=8167593056 Z=65617596668 M=3966
A=7852 B=7127 C=9448 X=613845728 Y=8898311299 Z=97287367289 M=1960
A=2250 B=6056 C=9393 X=995142573 Y=6947814683 Z=48018228658 M=4400
A=8013 B=5514 C=9808 X=501982403 Y=8281720432 Z=59151520899 M=3738
A=4525 B=5812 C=6549 X=418987999 Y=7041070902 Z=41402797834 M=2170
A=9778 B=7948 C=6221 X=484958259 Y=3380734790 Z=28267928824 M=7833
A=7629 B=6526 C=6635 X=475224933 Y=1608492961 Z=25287956281 M=3331
A=4417 B=8606 C=8141 X=335645892 Y=2059076912 Z=92332881063 M=1671
A=2019 B=8472 C=9533 X=605264824 Y=5294610632 Z=12401269021 M=4897
A=4808 B=3127 C=8775 X=311074150 Y=9241145356 Z=50633045962 M=7177
A=2684 B=6859 C=7567 X=726060101 Y=2597258963 Z=91379693525 M=6918
A=3662 B=9755 C=8068 X=204684677 Y=7904349724 Z=23632132754 M=3967
A=2977 B=9649 C=6146 X=418023164 Y=9071817528 Z=51340434835 M=2639
A=7066 B=6255 C=7481 X=756928163 Y=9252598812 Z=88278449689 M=5539
A=3870 B=3761 C=7262 X=735827673 Y=7319650341 Z=72054582840 M=6387
A=5508 B=4597 C=9614 X=850500820 Y=6977074090 Z=95532780778 M=9675
A=2837 B=7823 C=6996 X=916651783 Y=6529198919 Z=91421706596 M=4433
A=6320 B=5277 C=5080 X=829239330 Y=4853379452 Z=78899010311 M=8865
A=5785 B=3119 C=5162 X=802376639 Y=7102776210 Z=26781179759 M=6366
A=3275 B=4746 C=8577 X=403942128 Y=8424312186 Z=70321239949 M=2067
A=2638 B=8356 C=7925 X=721936043 Y=2443818666 Z=60637229508 M=5439
A=9999 B=9124 C=9835 X=746119966 Y=3611117285 Z=18452395191 M=6289
A=8540 B=8438 C=5445 X=222891372 Y=6550760691 Z=60407974466 M=7687
A=2454 B=9777 C=5065 X=497694188 Y=3461931570 Z=32006646813 M=4376
A=8833 B=9567 C=5051 X=405999445 Y=4691265124 Z=34489064203 M=7782
A=8488 B=3617 C=6801 X=725583729 Y=7027932837 Z=19659991182 M=9345
A=6423 B=7274 C=9768 X=861756988 Y=6392622471 Z=38388156966 M=1447
A=7265 B=4270 C=8251 X=418500011 Y=7112706810 Z=30594951225 M=1970
A=8415 B=8026 C=9838 X=583415704 Y=3553380623 Z=98992043663 M=9313
A=5372 B=3940 C=6936 X=584112117 Y=4876381710 Z=17055769946 M=2714
A=6362 B=5576 C=6195 X=563540012 Y=3163246786 Z=64721874171 M=6611
A=9682 B=4153 C=9335 X=198940685 Y=5225928529 Z=73225377998 M=5611
A=3003 B=7628 C=9092 X=349354397 Y=3273824958 Z=30167367329 M=6007
A=8034 B=4003 C=6323 X=257134711 Y=2626971342 Z=38936483729 M=6834
A=9579 B=5533 C=6531 X=172263033 Y=7706026378 Z=29068973917 M=3236
A=7179 B=7856 C=7590 X=738799294 Y=7102025461 Z=92662346712 M=9026
A=6662 B=7618 C=7171 X=401956296 Y=4634028282 Z=77539641310 M=5450
A=4558 B=3666 C=8998 X=731341189 Y=8709154687 Z=26228239595 M=8234
A=5515 B=6362 C=9316 X=461061491 Y=7351611704 Z=74536605997 M=6381
A=5986 B=6410 C=8118 X=653987093 Y=9407338343 Z=91258015006 M=2518
A=6070 B=7153 C=9754 X=669553427 Y=3358520559 Z=33706978129 M=9811
A=6335 B=6075 C=9853 X=674800967 Y=1006608389 Z=37251816943 M=9452
A=8742 B=7770 C=9699 X=526439794 Y=6614627956 Z=70616851208 M=1463
A=9345 B=9774 C=9356 X=752719395 Y=4847641390 Z=84446808218 M=6711
A=5205 B=5440 C=8971 X=602196595 Y=3320051940 Z=53001929608 M=3672
A=7004 B=3728 C=6335 X=813014406 Y=4347386318 Z=38657869700 M=8225
A=3938 B=4805 C=8253 X=652685052 Y=8297317847 Z=77407109267 M=6122
A=9682 B=8861 C=9350 X=559095894 Y=8238556297 Z=84886216558 M=8138
A=7211 B=3005 C=9235 X=674382502 Y=2579819156 Z=32633482152 M=8933
A=4613 B=9684 C=5823 X=896014694 Y=6391934116 Z=64208176936 M=6044
A=3745 B=9983 C=8803 X=428973999 Y=8034469181 Z=47110868691 M=5717
A=7178 B=3161 C=5204 X=834093270 Y=4821187614 Z=74259665892 M=9055
A=4941 B=6984 C=7414 X=550539494 Y=6416433826 Z=70998750291 M=4248
A=3272 B=8088 C=7117 X=179859994 Y=1231103340 Z=72765939607 M=4075
A=4451 B=9966 C=6966 X=952936928 Y=4625848797 Z=72876352708 M=3068
A=5577 B=5044 C=5556 X=316613937 Y=4341685740 Z=19151286607 M=6444
A=3476 B=4167 C=7997 X=490873338 Y=6764784251 Z=94632383841 M=8035
A=4867 B=8721 C=7604 X=449688810 Y=4021781384 Z=48914202466 M=8078
A=4762 B=9359 C=7028 X=793088035 Y=1611239584 Z=88500330248 M=1455
A=7157 B=5092 C=5081 X=693120214 Y=6857751009 Z=52132491333 M=4301
A=8391 B=6288 C=5175 X=591012941 Y=1974605328 Z=61665107979 M=3329
A=7820 B=3688 C=5596 X=794308252 Y=7440372706 Z=86707159374 M=2922
A=6697 B=6870 C=6992 X=518083561 Y=7626573130 Z=21253218366 M=3245
A=2643 B=4840 C=6188 X=631222147 Y=6303403736 Z=83814473222 M=6407
A=5365 B=8320 C=8176 X=134396288 Y=3743609135 Z=96950108013 M=3576
A=8902 B=4833 C=6661 X=161079997 Y=9902574602 Z=81269888075 M=7109
A=7252 B=4344 C=9628 X=145264583 Y=8676634589 Z=42117530561 M=6615
A=7778 B=7452 C=9903 X=122252079 Y=7547030805 Z=37727144586 M=9084
A=9058 B=7519 C=6302 X=356793757 Y=1167348944 Z=24963984490 M=7463
A=3044 B=8233 C=5896 X=274736813 Y=6757221599 Z=77713564623 M=8254
A=5028 B=7084 C=7804 X=256563943 Y=6783855607 Z=25574906137 M=2271
A=7674 B=3453 C=7300 X=548185917 Y=6206937852 Z=38444091252 M=7366
A=9331 B=6858 C=6399 X=153067109 Y=7682306814 Z=61403760211 M=5358
A=4864 B=3414 C=6393 X=930819854 Y=1694457002 Z=46442178800 M=3981
A=5455 B=7824 C=7379 X=651666628 Y=9830915974 Z=85426886184 M=2354
A=6274 B=6408 C=5178 X=354342760 Y=5604420250 Z=64161858088 M=2220
A=7671 B=7759 C=6250 X=556760801 Y=5488621062 Z=86858673757 M=1697
A=3545 B=4622 C=9607 X=735849644 Y=6023904771 Z=71796055805 M=7673
A=5516 B=3646 C=8846 X=126414440 Y=1199315718 Z=40257802201 M=6654
A=3130 B=9116 C=9329 X=673084120 Y=3470703691 Z=15282017840 M=9573
A=8090 B=3451 C=6145 X=783550820 Y=6625388360 Z=66396095652 M=9316
A=4129 B=7208 C=9748 X=413613155 Y=9858431396 Z=66657899478 M=9072
A=9418 B=3441 C=8224 X=714877052 Y=9370229372 Z=99032642598 M=8373
A=5862 B=7793 C=5098 X=891394702 Y=8163019580 Z=13778749170 M=3586
A=8816 B=6653 C=7104 X=515221455 Y=7688811978 Z=75771923744 M=1540
A=9053 B=9444 C=8933 X=701673281 Y=4580692961 Z=96532512108 M=3317
A=5266 B=7852 C=5416 X=841218766 Y=6593132199 Z=87086027662 M=1390
A=8002 B=5998 C=8954 X=505046969 Y=2426481935 Z=85955936975 M=6216
A=8028 B=8315 C=6210 X=810816818 Y=9899199290 Z=17613435502 M=5854
A=3513 B=9674 C=8925 X=902957597 Y=7552336044 Z=31074716896 M=9804
A=2864 B=5198 C=7980 X=549352978 Y=1045802484 Z=59173476978 M=9853
A=3206 B=5433 C=7760 X=974203727 Y=6249624989 Z=25305012288 M=1682
A=7342 B=7289 C=8719 X=441665885 Y=2019955815 Z=96394653934 M=9950
A=3642 B=3639 C=8155 X=936199626 Y=9028477841 Z=83401352423 M=4663
A=2900 B=8221 C=8715 X=727049175 Y=6449796639 Z=63379240413 M=9885
A=7217 B=6968 C=5138 X=873207987 Y=6703304420 Z=63893538616 M=1595
A=8237 B=4029 C=8871 X=437632048 Y=4369688280 Z=11889507828 M=9665
A=3955 B=6598 C=8182 X=161507215 Y=1175742608 Z=16741884606 M=5796
A=8332 B=5149 C=8639 X=100078461 Y=6810555534 Z=39702686608 M=2225
A=5893 B=4466 C=8342 X=343547493 Y=6946887386 Z=25729303255 M=1837
A=5252 B=3618 C=5810 X=661819715 Y=1116508414 Z=70064575205 M=1487
A=8900 B=3669 C=8817 X=912981007 Y=5948526911 Z=26000984070 M=4411
A=4840 B=7834 C=9302 X=832753491 Y=2463647634 Z=99263455870 M=6405
A=2394 B=3222 C=8892 X=993291113 Y=7931687859 Z=46324113609 M=6067
A=8010 B=7769 C=6551 X=754846096 Y=6879129410 Z=87591240786 M=3405
A=7639 B=8844 C=8712 X=772191824 Y=2556259092 Z=39507369610 M=1436
A=7765 B=3748 C=5238 X=827824262 Y=6306804926 Z=45597218555 M=4710
A=6102 B=3588 C=7365 X=641626208 Y=4573585561 Z=77334905486 M=5102
A=8392 B=8939 C=6186 X=638525841 Y=1516695578 Z=98060824911 M=9754
A=3739 B=7230 C=5102 X=121607664 Y=1238826313 Z=83823962802 M=6108
A=5290 B=6308 C=8475 X=981726431 Y=7952459080 Z=28040544188 M=2048
A=6170 B=6818 C=9077 X=309864683 Y=8124420040 Z=63758655853 M=8328
A=7638 B=5253 C=5546 X=502494717 Y=4186738531 Z=62448576302 M=6976
A=4701 B=3915 C=5604 X=496627473 Y=7552996709 Z=24407342375 M=6582
A=9944 B=5566 C=6221 X=824976426 Y=5955487177 Z=81929658870 M=6045
A=9070 B=5681 C=9443 X=942770887 Y=9197503307 Z=33952368589 M=7627
A=2625 B=3941 C=8528 X=232465034 Y=2378311646 Z=68722270152 M=1196
A=7729 B=9571 C=7983 X=689391379 Y=8676697896 Z=96019892211 M=7727
A=3423 B=4206 C=8146 X=970411094 Y=4788688854 Z=84342403921 M=1749
A=5124 B=7856 C=6531 X=671060630 Y=7219210198 Z=19771686268 M=8801
A=7352 B=9505 C=5765 X=773313274 Y=2681589725 Z=67440666480 M=5296
A=9794 B=4284 C=5901 X=121872874 Y=8352184835 Z=25957350272 M=7823
A=2490 B=9660 C=5392 X=870344668 Y=9807074822 Z=87686766685 M=8287
A=7160 B=9136 C=8571 X=841369401 Y=5869072268 Z=19439251339 M=5126
A=2932 B=4041 C=9792 X=501230382 Y=7777566748 Z=19242683339 M=1699
A=2285 B=4018 C=7290 X=351643508 Y=7781264732 Z=28499506487 M=3914
A=4678 B=3109 C=9737 X=923741570 Y=9583785268 Z=98081497659 M=9107
A=5397 B=5737 C=5926 X=655730418 Y=6298298565 Z=11372652758 M=6478
A=5187 B=4536 C=5696 X=140279586 Y=8155650691 Z=53149603718 M=8371
A=9138 B=4575 C=5982 X=754379190 Y=5700554647 Z=74869181061 M=9366
A=5041 B=8231 C=5142 X=506906824 Y=3326854682 Z=46283815255 M=6701
A=4518 B=7626 C=7202 X=952328071 Y=1074875930 Z=37829085891 M=3916
A=9208 B=3990 C=5460 X=147819607 Y=6239988057 Z=31452076454 M=4519
A=4132 B=8429 C=6313 X=173780312 Y=4650438422 Z=32950912170 M=7198
A=5124 B=8553 C=9982 X=878524463 Y=7717805646 Z=53376889250 M=9364
A=3898 B=7952 C=8434 X=241097228 Y=6698068440 Z=24256665350 M=8194
A=2776 B=6439 C=9074 X=687708846 Y=2822665039 Z=90270750769 M=6806
A=6941 B=6249 C=8724 X=994598090 Y=3631523822 Z=47754383143 M=2176
A=5662 B=3945 C=8446 X=657200100 Y=9931119428 Z=61895665541 M=1173
A=9139 B=5454 C=7301 X=743732719 Y=7727108041 Z=45085457749 M=3931
A=9822 B=5074 C=9062 X=977386432 Y=3122147986 Z=16855653894 M=9881
A=5877 B=7021 C=8066 X=511788236 Y=4581161107 Z=54187612469 M=6748
A=8271 B=7234 C=9243 X=255871639 Y=2087841363 Z=17876395733 M=5092
A=6113 B=7561 C=5284 X=496558277 Y=2555109003 Z=78117411223 M=4528
A=5767 B=7781 C=6600 X=120973568 Y=8421113852 Z=28697749767 M=6283
A=5627 B=5734 C=8778 X=260369600 Y=6643171526 Z=60267352801 M=8917
A=6834 B=7758 C=9724 X=792596194 Y=9228846452 Z=51736119185 M=5759
A=6062 B=8316 C=8292 X=822691648 Y=7262337338 Z=12593942687 M=4317
A=2695 B=3916 C=6081 X=359729655 Y=3819717940 Z=39972815352 M=6098
A=7839 B=5245 C=6654 X=555409326 Y=6340555629 Z=34477961704 M=2728
A=4816 B=7969 C=8743 X=492203915 Y=9792352754 Z=53631934313 M=7411
A=9992 B=4496 C=6293 X=797870391 Y=5415746691 Z=26819705147 M=3456
A=9035 B=3651 C=8133 X=417207874 Y=2055632216 Z=28709586437 M=3673
A=6828 B=6675 C=5856 X=420519123 Y=9109497050 Z=51982083744 M=7113
A=2439 B=7293 C=9971 X=639148698 Y=7081712787 Z=61630670335 M=1713
A=4442 B=6613 C=6775 X=688109063 Y=7743028121 Z=20250836020 M=3056
A=2904 B=7322 C=9352 X=648181900 Y=5294656351 Z=66818619521 M=5395
A=3655 B=6227 C=8208 X=487758072 Y=8352611198 Z=88389724320 M=8086
A=2993 B=9953 C=8188 X=143111387 Y=4104082718 Z=37610178731 M=7747
A=7464 B=6060 C=9795 X=403166981 Y=1541313194 Z=55145113777 M=2174
A=3741 B=6840 C=7456 X=892513326 Y=8241192979 Z=60308644317 M=9925
A=2162 B=9387 C=8175 X=565304873 Y=1965859584 Z=67942804747 M=8349
A=4778 B=5461 C=8397 X=821434172 Y=6765775553 Z=59312018728 M=1451
A=8061 B=9170 C=8581 X=990054527 Y=7643141969 Z=36799586712 M=4254
A=4214 B=7499 C=5568 X=523562913 Y=8310530436 Z=15081745249 M=8578
A=8046 B=7918 C=6535 X=748883600 Y=5912912187 Z=67069485633 M=3249
A=9278 B=7132 C=6721 X=418928230 Y=3210122293 Z=72686980797 M=5810
A=4279 B=8608 C=8615 X=963884145 Y=9171355293 Z=17059996285 M=3492
A=2646 B=6483 C=5703 X=585748747 Y=4826114046 Z=30767826610 M=3784
A=3360 B=5007 C=7454 X=533730165 Y=6327352578 Z=78973143002 M=9621
A=4270 B=5654 C=7914 X=213266299 Y=5221898716 Z=40855473836 M=7941
A=2898 B=6101 C=8850 X=451307931 Y=9414706139 Z=49820402279 M=8510
A=2855 B=7120 C=9083 X=665697178 Y=3242923673 Z=50410678212 M=6889
A=8382 B=7281 C=9320 X=912926072 Y=7972428916 Z=45290465013 M=8441
A=5934 B=6300 C=5766 X=237234800 Y=4425644214 Z=38567013721 M=4745
A=8964 B=3110 C=7372 X=722031180 Y=5160619996 Z=47477653842 M=2989
A=8978 B=9716 C=8460 X=843450881 Y=4887441383 Z=54247874415 M=3098
A=4000 B=3434 C=7332 X=305677600 Y=1586422063 Z=65881564140 M=9798
A=4519 B=5854 C=7028 X=762864644 Y=5622152033 Z=31528925615 M=2551
A=6062 B=7062 C=5546 X=627427076 Y=5232214667 Z=86443849760 M=6744
A=3800 B=4840 C=9476 X=330368538 Y=6505998253 Z=78880244102 M=2528
A=9546 B=6823 C=8468 X=117046663 Y=9730660772 Z=74084042692 M=8310
A=4722 B=7545 C=9719 X=429674362 Y=1771334225 Z=91795108690 M=3187
A=4563 B=7668 C=9929 X=469183885 Y=8436249424 Z=43682195705 M=8426
A=6029 B=4124 C=5845 X=859842497 Y=9536407854 Z=37199637042 M=2284
A=4221 B=5950 C=8012 X=994022441 Y=7868266817 Z=34325177903 M=1663
A=5010 B=6100 C=9261 X=614210971 Y=4615259211 Z=91483064608 M=4320
A=3911 B=3326 C=5617 X=528838046 Y=5437455195 Z=41003695498 M=9129
A=5619 B=6307 C=9711 X=397242147 Y=6891611985 Z=73065995345 M=9027
A=8072 B=4863 C=9511 X=194920040 Y=9203112242 Z=70289493776 M=6949
A=5998 B=6282 C=7393 X=361530360 Y=9347086858 Z=44741444066 M=3720
A=2333 B=8754 C=6877 X=392895534 Y=9947897947 Z=90750355568 M=8731
A=6306 B=3995 C=9860 X=528271060 Y=9056355190 Z=67515515175 M=5426
A=7371 B=9612 C=8376 X=943302909 Y=8883836953 Z=81335007449 M=2985
A=6878 B=4220 C=5516 X=824781003 Y=7143049081 Z=29466989716 M=8595
A=7389 B=8080 C=7056 X=619840786 Y=5879930624 Z=77884934842 M=8099
A=7544 B=9639 C=9185 X=323513133 Y=1754904967 Z=87742353739 M=1436
A=3728 B=7570 C=6261 X=106048339 Y=7633819709 Z=99095687865 M=9817
A=6245 B=7971 C=7719 X=722671324 Y=1087252848 Z=95244420216 M=7515
A=7045 B=5587 C=6000 X=979178163 Y=4313400600 Z=41952769355 M=5160
A=9773 B=5683 C=7333 X=127869547 Y=1647001497 Z=44663411869 M=5839
A=6295 B=4647 C=7063 X=299504636 Y=3568301369 Z=79013274327 M=3838
A=6811 B=3796 C=6292 X=789401502 Y=1478964974 Z=28335150801 M=4020
A=6647 B=9843 C=9780 X=481064205 Y=6542645088 Z=19318289176 M=7371
A=8893 B=9658 C=8671 X=747812405 Y=2931420132 Z=45779486203 M=3472
A=9684 B=9242 C=7301 X=971850185 Y=7620397063 Z=94037161641 M=7440
A=4085 B=8806 C=5562 X=841429016 Y=7801447057 Z=81707030239 M=7744
A=7448 B=8149 C=8923 X=440064274 Y=5082712250 Z=93447983036 M=7081
A=7850 B=3746 C=7496 X=167067577 Y=6861957087 Z=99964260525 M=4664
A=8042 B=6623 C=5941 X=330739771 Y=5222626889 Z=90650195198 M=7425
A=4007 B=6397 C=6520 X=705935420 Y=1074077301 Z=24130856219 M=7954
A=8740 B=3551 C=5910 X=790944447 Y=5868276582 Z=97407407899 M=6164
A=6278 B=3878 C=5367 X=798853204 Y=2093943985 Z=93660450328 M=9480
A=5239 B=5968 C=8944 X=491100625 Y=1932860740 Z=11509255417 M=2071
A=8206 B=9398 C=8459 X=770769531 Y=4590040858 Z=35463604254 M=8684
A=3429 B=4726 C=5634 X=822237409 Y=7064144960 Z=85701696336 M=9380
A=3407 B=7823 C=7067 X=931476397 Y=7980717042 Z=55746653387 M=5347
A=7819 B=3542 C=5277 X=873435445 Y=4994129091 Z=31960516106 M=7157
A=3532 B=9668 C=8728 X=233854986 Y=6625474547 Z=26270133699 M=5297
A=3442 B=5099 C=5649 X=534460389 Y=8088202608 Z=28983734838 M=5758
A=3506 B=6937 C=9373 X=842403333 Y=9161565550 Z=72364329736 M=9114
A=7195 B=4377 C=9999 X=936412683 Y=9690274235 Z=60083053086 M=7155
A=6902 B=4186 C=9532 X=721152041 Y=9165922734 Z=67953535952 M=1252
A=5587 B=8772 C=6294 X=259721604 Y=4546340040 Z=81859821482 M=8573
A=8273 B=7445 C=5024 X=770232742 Y=3987367828 Z=27598006515 M=8198
A=7520 B=3526 C=8622 X=354252272 Y=7706729548 Z=65589874055 M=9866
A=6210 B=4441 C=9081 X=956622182 Y=9757162803 Z=69229719506 M=6946
A=3593 B=9136 C=6516 X=142971647 Y=1543354909 Z=17657112394 M=8708
A=3613 B=9996 C=5229 X=798575586 Y=8106612667 Z=28568990402 M=2980
A=3219 B=8426 C=8711 X=617212333 Y=6611563903 Z=65622664353 M=3487
A=2191 B=6743 C=5297 X=738675797 Y=5473251273 Z=82943898551 M=6650
A=4806 B=7659 C=6521 X=282256219 Y=1731117163 Z=69385538418 M=4813
A=8306 B=7196 C=9980 X=635100100 Y=5953759566 Z=75427557790 M=2517
A=2426 B=8308 C=6790 X=774454362 Y=8606171305 Z=11122175620 M=2350
A=8945 B=8183 C=7616 X=822952524 Y=5312771369 Z=35597182179 M=5511
A=7030 B=6914 C=7829 X=992398771 Y=2713716925 Z=16745952352 M=4807
A=5201 B=7493 C=6263 X=687725215 Y=6588709824 Z=70111153798 M=7391
A=9941 B=5132 C=5070 X=318960629 Y=8533029263 Z=47854937395 M=3639
A=6001 B=8283 C=5942 X=796415260 Y=9295615641 Z=43171118646 M=6697
A=3038 B=7279 C=7868 X=388514031 Y=3233836230 Z=33410549752 M=9040
A=9989 B=8631 C=6879 X=532725294 Y=3628829846 Z=77258619422 M=6682
A=8546 B=3827 C=9442 X=985695123 Y=2449241512 Z=23266032526 M=4225
A=4989 B=4233 C=5375 X=675273928 Y=9273863364 Z=31948491593 M=4172
A=8694 B=5079 C=8154 X=154375354 Y=1609632377 Z=71190386848 M=3556
A=3392 B=5754 C=8703 X=275000531 Y=9844742310 Z=46384867978 M=7986
A=4945 B=7143 C=6262 X=627576441 Y=1301855962 Z=35486655155 M=6247
A=8408 B=9215 C=8539 X=501178683 Y=7835382935 Z=73243366147 M=6283
A=6253 B=3683 C=7957 X=198535449 Y=8846355918 Z=21885595425 M=6750
A=9080 B=6899 C=5670 X=142456829 Y=5550217650 Z=20876944793 M=4437
A=2116 B=8706 C=7334 X=118560745 Y=8845975537 Z=83894372070 M=1309
A=8651 B=6115 C=8683 X=575509277 Y=9750903630 Z=10183567059 M=3984
A=6956 B=5816 C=7916 X=789344783 Y=9919143966 Z=68489197544 M=7191
A=6564 B=3265 C=8041 X=570171609 Y=6359719436 Z=70637100383 M=5836
A=5936 B=4654 C=5872 X=459749647 Y=7786372642 Z=89360792468 M=1071
A=2816 B=7728 C=7692 X=705074092 Y=3771682260 Z=51213651903 M=7275
A=8940 B=5632 C=6820 X=112843829 Y=9910957459 Z=46754671426 M=2984
A=6908 B=4391 C=5944 X=347354805 Y=5141319670 Z=50769449268 M=3198
A=6499 B=6283 C=6076 X=619471185 Y=5469627557 Z=11577044265 M=6567
A=5057 B=5143 C=5092 X=261232118 Y=7304570562 Z=17017396243 M=1630
A=5795 B=8713 C=5365 X=357281523 Y=4326352614 Z=81331732681 M=2383
A=8650 B=9693 C=8433 X=144039819 Y=5051216937 Z=67246868567 M=7778
A=9435 B=3631 C=7280 X=478561759 Y=6380624146 Z=27865612349 M=3929
A=5203 B=6483 C=5591 X=446603503 Y=8319134825 Z=24575615579 M=8379
A=4897 B=6568 C=6308 X=941714443 Y=8670570600 Z=40153968253 M=7089
A=4440 B=7723 C=6712 X=223831572 Y=6332063299 Z=72464901987 M=3834
A=6620 B=4787 C=5516 X=801776366 Y=8122462805 Z=10325167164 M=5405
A=5218 B=6250 C=9810 X=664665810 Y=6137482865 Z=23880264217 M=4698
A=5608 B=5421 C=8745 X=107650030 Y=3498780774 Z=50636239428 M=6119
A=5114 B=5187 C=8926 X=613781699 Y=3408089375 Z=44811201826 M=2986
A=5883 B=3094 C=5252 X=925933690 Y=7927015513 Z=35834462184 M=9492
A=4280 B=7924 C=6408 X=373849374 Y=7621980374 Z=64269537036 M=9437
A=5451 B=9309 C=5199 X=190455821 Y=3451869698 Z=53157860013 M=6114
A=2086 B=6622 C=7445 X=168938946 Y=4131874725 Z=31208016217 M=7510
A=8000 B=5563 C=9800 X=743835332 Y=4611887963 Z=39156119955 M=6501
A=5791 B=9495 C=5073 X=252468986 Y=6872324585 Z=31749194820 M=4357
A=3441 B=7429 C=5740 X=805597864 Y=9619090716 Z=26656698629 M=6706
A=4509 B=7043 C=8167 X=272947189 Y=6161492984 Z=36807990337 M=1283
A=9967 B=9479 C=5220 X=342123016 Y=5354309398 Z=46370761604 M=9913
A=2827 B=7611 C=7465 X=108435224 Y=8173087186 Z=59024592661 M=1062
A=2561 B=4467 C=9299 X=778326505 Y=6496593732 Z=83213535660 M=8511
A=4014 B=3473 C=7778 X=837803931 Y=1160480384 Z=42883245682 M=6860
A=2705 B=3530 C=6074 X=827479241 Y=8013556138 Z=56832260071 M=6847
A=7908 B=3383 C=7334 X=127859470 Y=4259569997 Z=10420659666 M=8708
A=6098 B=5520 C=9602 X=156916355 Y=4703200033 Z=53147449547 M=1443
A=6434 B=5079 C=7792 X=956434356 Y=2047349287 Z=99510363863 M=6948
A=6630 B=4864 C=7412 X=347958331 Y=2884798761 Z=17100315020 M=5414
A=9775 B=3195 C=5200 X=303360702 Y=8966180188 Z=71414913297 M=5543
A=8173 B=7775 C=5943 X=944933183 Y=1687771179 Z=10418913233 M=7666
A=7433 B=5604 C=9366 X=807202919 Y=7627115319 Z=82412947774 M=1201
A=3717 B=3147 C=7917 X=196303759 Y=4507284699 Z=93521903437 M=2894
A=8603 B=6619 C=5260 X=171605143 Y=3034638179 Z=14305177823 M=4770
A=6657 B=7352 C=6433 X=272833170 Y=4147651207 Z=19385709313 M=6228
A=3864 B=4798 C=9509 X=415304696 Y=3786294794 Z=71384642768 M=2263
A=9529 B=7744 C=9799 X=496653275 Y=9703103852 Z=66531679119 M=9254
A=8014 B=3424 C=8907 X=500283882 Y=2855564473 Z=27935952401 M=3989
A=3237 B=3157 C=5248 X=579496223 Y=8337178948 Z=91082956842 M=6478
A=7556 B=9695 C=5832 X=602669887 Y=8722618610 Z=66208023236 M=3295
A=7390 B=5844 C=6779 X=861720916 Y=7531035223 Z=10213076550 M=4997
A=8258 B=8462 C=9909 X=537077146 Y=1055055762 Z=61719893334 M=9891
